4.25, {'train_loss_epoch_ave': [tensor(1145298.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.3, {'train_loss_epoch_ave': [tensor(1374932.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.35, {'train_loss_epoch_ave': [tensor(1357105.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.4, {'train_loss_epoch_ave': [tensor(1045326.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.45, {'train_loss_epoch_ave': [tensor(1151796.1250, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.5, {'train_loss_epoch_ave': [tensor(781520.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.55, {'train_loss_epoch_ave': [tensor(697952.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.6, {'train_loss_epoch_ave': [tensor(1846704., device='cuda:0')], 'valid_loss_epoch_ave': []}
4.65, {'train_loss_epoch_ave': [tensor(1216921.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.7, {'train_loss_epoch_ave': [tensor(922467.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.75, {'train_loss_epoch_ave': [tensor(748952.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.8, {'train_loss_epoch_ave': [tensor(765607.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.85, {'train_loss_epoch_ave': [tensor(840766.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.9, {'train_loss_epoch_ave': [tensor(410629.6562, device='cuda:0')], 'valid_loss_epoch_ave': []}
4.95, {'train_loss_epoch_ave': [tensor(826163.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.0, {'train_loss_epoch_ave': [tensor(845293.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.05, {'train_loss_epoch_ave': [tensor(822423.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.1, {'train_loss_epoch_ave': [tensor(808367.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.15, {'train_loss_epoch_ave': [tensor(617216.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.2, {'train_loss_epoch_ave': [tensor(400035.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.25, {'train_loss_epoch_ave': [tensor(769979.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.3, {'train_loss_epoch_ave': [tensor(809722.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.35, {'train_loss_epoch_ave': [tensor(804156.3125, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.4, {'train_loss_epoch_ave': [tensor(425336.6562, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.45, {'train_loss_epoch_ave': [tensor(539905.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.5, {'train_loss_epoch_ave': [tensor(1099406.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
5.55, {'train_loss_epoch_ave': [tensor(999149.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
